features3,lsvc
50804_max,28
50804_mean,85
50804_min,57
50813_mean,35
50813_min,61
50818_max,121
50818_mean,86
50818_min,56
50820_max,90
50820_mean,55
50820_min,118
50820_var,119
50821_max,81
50821_mean,101
50821_min,100
50861_mean,68
50861_min,70
50868_max,104
50868_mean,67
50868_min,66
50868_var,36
50878_mean,62
50878_min,69
50882_min,27
50882_var,83
50893_max,20
50893_mean,108
50893_min,93
50893_var,21
50902_max,6
50902_mean,82
50902_min,5
50902_var,7
50912_max,13
50912_mean,14
50931_max,109
50931_mean,75
50931_min,33
50931_var,113
50960_max,78
50960_mean,76
50960_min,94
50970_max,59
50970_mean,58
50970_min,106
50970_var,60
50971_max,22
50971_mean,40
50971_min,39
50971_var,88
50983_max,15
50983_mean,99
50983_min,50
50983_var,51
51221_max,44
51221_mean,43
51221_var,45
51237_max,92
51237_mean,42
51237_min,95
51237_var,96
51244_mean,29
51248_mean,84
51248_var,91
51249_max,3
51249_mean,4
51249_min,1
51249_var,2
51254_max,87
51254_mean,32
51254_min,31
51256_mean,30
51265_mean,9
51265_min,8
51265_var,10
51274_var,120
51275_mean,97
51275_min,25
51275_var,89
51277_mean,54
51301_mean,24
51491_max,64
51491_mean,65
51498_max,74
51498_mean,19
51498_min,18
age,103
apsiii,46
diasbp_max,73
diasbp_mean,98
diasbp_min,116
gender_F,49
gender_M,26
glucose_max,23
glucose_mean,77
glucose_min,34
hr_max,80
hr_mean,53
hr_min,38
marital_status_DIVORCED,111
marital_status_MARRIED,114
marital_status_SEPARATED,110
marital_status_SINGLE,63
marital_status_WIDOWED,102
oasis,47
resprate_max,71
resprate_mean,117
resprate_min,48
sapsii,112
sofa,41
sysbp_max,37
sysbp_mean,79
sysbp_min,17
temp_max,16
temp_mean,52
temp_min,115
urea_n_max,11
urea_n_min,12
urine_max,72
urine_mean,107
urine_min,105
