features1,logr
50804_max,87
50804_mean,86
50804_min,58
50813_mean,60
50813_min,92
50818_max,40
50818_mean,83
50818_min,59
50820_max,43
50820_mean,42
50820_min,41
50820_var,93
50821_max,78
50821_mean,89
50821_min,108
50861_mean,116
50861_min,1
50868_max,8
50868_mean,36
50868_min,6
50868_var,7
50878_min,22
50882_mean,77
50882_min,27
50882_var,70
50893_max,53
50893_mean,102
50893_min,99
50893_var,52
50902_max,4
50902_mean,75
50902_min,2
50902_var,5
50912_mean,35
50912_var,115
50931_max,55
50931_mean,117
50931_min,24
50931_var,23
50960_max,57
50960_mean,64
50960_min,88
50960_var,56
50970_max,96
50970_mean,16
50970_min,15
50970_var,17
50971_max,12
50971_mean,66
50971_min,47
50971_var,11
50983_max,26
50983_mean,76
50983_min,39
50983_var,38
51006_var,18
51221_max,33
51221_mean,32
51221_var,48
51237_max,94
51237_mean,73
51237_min,44
51237_var,74
51244_mean,31
51248_mean,110
51248_var,97
51249_mean,45
51249_var,90
51254_max,81
51254_mean,71
51254_min,61
51256_mean,30
51265_mean,106
51265_var,105
51274_max,21
51274_mean,29
51274_var,20
51275_mean,67
51275_min,19
51275_var,68
51277_mean,109
51277_var,98
51301_mean,91
51301_var,114
51491_mean,103
51498_mean,101
age,28
apsiii,62
diasbp_max,50
diasbp_mean,80
diasbp_min,95
gender_F,46
gender_M,63
glucose_max,3
glucose_min,25
hr_max,79
hr_mean,13
hr_min,14
marital_status_DIVORCED,113
marital_status_MARRIED,82
marital_status_SEPARATED,104
marital_status_SINGLE,112
marital_status_WIDOWED,72
oasis,54
resprate_max,84
resprate_mean,100
resprate_min,85
sapsii,51
sofa,107
sysbp_max,37
sysbp_mean,69
sysbp_min,34
temp_max,49
temp_mean,65
temp_min,111
urea_n_max,9
urea_n_min,10
urine_mean,119
urine_min,118
