features2,xgboost
50804_max,15
50804_mean,102
50804_min,108
50813_mean,105
50813_min,28
50818_max,20
50818_mean,63
50818_min,89
50820_max,32
50820_mean,86
50820_min,71
50820_var,112
50821_max,56
50821_mean,55
50821_min,59
50861_mean,73
50861_min,38
50868_max,46
50868_mean,79
50868_min,7
50868_var,88
50878_min,11
50882_mean,53
50882_min,64
50882_var,30
50893_max,22
50893_mean,44
50893_min,72
50893_var,37
50902_max,49
50902_mean,95
50902_min,12
50902_var,67
50912_mean,18
50912_var,61
50931_max,45
50931_mean,58
50931_min,25
50931_var,93
50960_max,35
50960_mean,106
50960_min,83
50960_var,90
50970_max,54
50970_mean,113
50970_min,98
50970_var,41
50971_max,5
50971_mean,92
50971_min,47
50971_var,94
50983_max,13
50983_mean,96
50983_min,19
50983_var,27
51006_var,36
51221_max,51
51221_mean,87
51221_var,100
51237_max,68
51237_mean,29
51237_min,76
51237_var,75
51244_mean,39
51248_mean,97
51248_var,16
51249_mean,23
51249_var,66
51254_max,3
51254_mean,110
51254_min,2
51256_mean,101
51265_mean,65
51265_var,4
51274_max,9
51274_mean,62
51274_var,34
51275_mean,80
51275_min,8
51275_var,82
51277_mean,52
51277_var,1
51301_mean,17
51301_var,43
51491_mean,111
51498_mean,70
age,24
apsiii,60
diasbp_max,91
diasbp_mean,85
diasbp_min,77
gender_F,104
gender_M,114
glucose_max,33
glucose_min,26
hr_max,10
hr_mean,31
hr_min,69
marital_status_DIVORCED,115
marital_status_MARRIED,116
marital_status_SEPARATED,117
marital_status_SINGLE,118
marital_status_WIDOWED,119
oasis,103
resprate_max,109
resprate_mean,84
resprate_min,81
sapsii,99
sofa,50
sysbp_max,48
sysbp_mean,107
sysbp_min,21
temp_max,6
temp_mean,74
temp_min,40
urea_n_max,14
urea_n_min,42
urine_mean,78
urine_min,57
